Version,Period,ValidFrom,,,,,,
1.0,5,2026-2027,,,,,,
Slot,Code,Title,Coordinator,Corequisite,Prerequisite,Days,CorequisiteOf,PrerequisiteCodes
A,CHE2010,General Chemistry,Chris Bahn,TRUE,TRUE,"MonAM, TueAM",PRA2034,CHE1101
A,BIO3001,Molecular Biology,Kathia Jimenez Monroy,TRUE,TRUE,"MonAM, TueAM",PRA3003,BIO2001+BIO2007
A,PHY2002,Thermodynamics and Statistical Mechanics,Slava Vieru,FALSE,TRUE,"MonAM, TueAM",,MAT2006/MAT2009
A,INT1005,Commercializing Science & Technology,Jermain Kaminski,FALSE,FALSE,"MonAM, TueAM",,
B,BIO3004,Animal Behaviour,Linnea van Griethuijsen,FALSE,TRUE,"MonPM, TuePM",,BIO2004+BIO2005
B,PHY2007,Optics,Sebastian Steinlechner,FALSE,TRUE,"MonPM, TuePM",,PHY2003
B,INT2008,Molecular Toxicology,Misha Vrolijk,FALSE,FALSE,"MonPM, TuePM",,
B,INT3011,Landscape Archaeology,Kyla Jazwa,FALSE,TRUE,"MonPM, TuePM",,PRA2009/INT2012/PRA2024/PRA2015
B,MAT2004,Linear Algebra,Martin Frohn,FALSE,FALSE,"MonPM, TuePM",,
C,BIO2002,Ecology,John Sloggett,FALSE,FALSE,"TueAM, WedAM",,
C,BIO2006,Biotechnology,David Cortens,FALSE,TRUE,"TueAM, WedAM",,BIO2007+PRA2014
C,CHE3012,Nanomaterials and Catalysis,Annelies van der Bok,TRUE,TRUE,"TueAM, WedAM",CHE2009,CHE3010
C,PHY3006,General Relativity,Gideon Koekoek,FALSE,TRUE,"TueAM, WedAM",,PHY3002/PHY2011
C,MAT2005,Probability and Statistics,Otti d'Huys,FALSE,TRUE,"TueAM, WedAM",,MAT2006
D,BIO3003,Medical Microbiology,Frank Stassen,TRUE,TRUE,"TuePM, WedPM",PRA3010,BIO2001+BIO2007
D,MAT1007,Mathematical Tools for Scientists,Mariët Hofstee,FALSE,FALSE,"TuePM, WedPM",,
D,INT2014,Imaging Engineering,Gavin Hazell,FALSE,FALSE,"TuePM, WedPM",,
D,PHY2005,Fundamentals of Quantum Mechanics,Keri Vos,TRUE,TRUE,"TuePM, WedPM",PHY2001,MAT2004/MAT2006/MAT2008
E,NEU1003,Computational Neuroscience,Renaud Jolivet,FALSE,FALSE,"WedAM, ThuAM",,
E,PHY3005,Electrodynamics,Stefan Danilishin,FALSE,TRUE,"WedAM, ThuAM",,PHY2004+MAT2009+PHY2011
E,CHE2007,Solid State Chemistry,Giuditta Perversi,FALSE,FALSE,"WedAM, ThuAM",,
E,INT2009,Biophysics,Anjusha Mathew,FALSE,TRUE,"WedAM, ThuAM",,CHE2006+BIO2001+CHE2004+INT2010+INT2014+PRA2020+PRA2005
E,PHY2008,Solar System Astronomy,Chad Ellington,FALSE,FALSE,"WedAM, ThuAM",,
,PRA1003,Basic Physics Laboratory,Suzan du Pree,FALSE,FALSE,"WedAM, FriAM",,
,PRA1005,Data Collection Techniques in Neuroscience,Mark Roberts,FALSE,FALSE,"WedPM, ThuAM",,
,PRA2007,Physics Laboratory,Chris Pawley & Maarten van Veghel,FALSE,TRUE,MonAM,,PRA1003
,PRA2008,Physical Chemistry,Slava Vieru,FALSE,TRUE,FriPM,,PRA2034+PHY2002+CHE3007
,PRA2009,Field Skills in Biology,Phil Klahs,FALSE,TRUE,"TuePM, WedPM",,PRA1102
,PRA2020,Practical Mass Spectrometry,Anjusha Mathew,FALSE,TRUE,ThuPM,,INT2010
,PRA2023,Astronomical Observing Techniques,Chad Ellington,FALSE,TRUE,MonPM,,PRA1003/PHY2008/PHY2009/PHY2010
,PRA2034,General Chemistry Laboratory,Chris Bahn,TRUE,TRUE,"TueAM, FriPM",CHE2010,PRA1101/PRA1102
,PRA3003,Molecular Biology,Kathia Jimenez Monroy,TRUE,TRUE,"TuePM, FriAM",BIO3001,PRA2014+core 1000-level
,PRA3010,Microbiology,Frank Stassen,TRUE,TRUE,"WedAM, ThuPM",BIO3003,BIO2001+BIO2007
,PRA3011,The Limburg Landscape,Phil Klahs,FALSE,TRUE,FriPM,,PRA2009
,PRA3025,Science Communication: Curating Science Exhibits,May Lee & Kyle Jazwa,FALSE,TRUE,ThuPM,,PRA2027
