course_catalogue
code;title;coordinator;corequisite;prerequisite;corequisiteof;prerequisitecode
BIO1101;Introduction to Biology;David Cortens;TRUE;FALSE;PRA1102;
BIO2001;Cell Biology;Prof. dr. Martijn van Griensven and Dr Aart van Apeldoorn;FALSE;FALSE;;
BIO2002;Ecology;Dr. John Sloggett;FALSE;FALSE;;
BIO2003;General Botany;Dr. Phil Klahs;TRUE;FALSE;PRA2011;
BIO2004;General Zoology;Dr. John Sloggett;FALSE;FALSE;;
BIO2005;Evolutionary Biology;Dr. Linnea van Griethuijsen;FALSE;FALSE;;
BIO2006;Biotechnology;Dr. David Cortens;FALSE;TRUE;;BIO2007+PRA2014
BIO2007;Genetics;Prof. dr. Leon de Windt;TRUE;TRUE;PRA2014;BIO2001
BIO2008;Great Transformations in Vertebrate Evolution;Prof. Dr. Leon Claessens;TRUE;FALSE;PRA2025;
BIO2010;Human Anatomy and Physiology;Aaron Isaacs;FALSE;FALSE;;
BIO3001;Molecular Biology;Dr. Kathia Jimenez;TRUE;TRUE;PRA3003;BIO2001+BIO2007
BIO3002;Ecophysiology;Dr. John Sloggett;FALSE;TRUE;;BIO2001
BIO3003;Medical Microbiology;Frank Stassen;TRUE;TRUE;PRA3010;BIO2001+BIO2007
BIO3004;Animal Behaviour;Dr. Linnea van Griethuijsen;FALSE;TRUE;;BIO2004+BIO2005
BIO3007;Tropical Biology;Dr. Roy Erkens;FALSE;TRUE;;BIO2002
BIO3010;"Genomics, Proteomics and Other Omics Technologies";Birol Cabukusta;FALSE;FALSE;;
CHE1101;Introduction to Chemistry;Dr. Chris Bahn;TRUE;FALSE;PRA1101;
CHE2004;Spectroscopy;Annelies van der Bok;FALSE;TRUE;;CHE2009/CHE2001
CHE2006;Biochemistry;Prof. dr. L. Schurgers, Dr. A. Jaminon, Dr. S. Agten, N. Deckers;FALSE;TRUE;;BIO1101/CHE1101
CHE2007;Solid State Chemistry;Dr. Giuditta Perversi;FALSE;FALSE;;
CHE2009;Fundamentals of Organic Chemistry;Dr. Hanne Diliën;TRUE;FALSE;PRA2032;
CHE2010;General Chemistry;Dr. Chris Bahn;TRUE;TRUE;PRA2034;CHE1101
CHE2011;Organic Chemistry;Dr. Hanne Diliën;TRUE;TRUE;PRA2033;CHE2009
CHE3006;Quantum Chemistry;Dr. Veaceslav (Slava) Vieru;TRUE;TRUE;PRA3018;MAT2006/MAT2009
CHE3007;Chemical Kinetics;Dr. Veaceslav (Slava) Vieru;FALSE;TRUE;;MAT2006
CHE3009;Crystallography;Dr. Giuditta Perversi;FALSE;TRUE;;PRO1002
CHE3010;Inorganic Chemistry;Dr. Giuditta Perversi;TRUE;TRUE;PRA3028;CHE2010
CHE3011;Instrumental analysis;Annelies van der Bok;FALSE;TRUE;;CHE2004
CHE3012;Nanomaterials and Catalysis;Annelies van der Bok;FALSE;TRUE;;CHE3010
CHE3013;Advanced Organic Chemistry;Matthew Baker;TRUE;TRUE;PRA3029;CHE2011
INT1101;Introduction to Liberal Arts and Science;Dr. Hanne Diliën, Dr. Rocio Arreguin Campos;TRUE;FALSE;PRA1102;
INT1003;Introduction to Biomedical Engineering;Daan van Beek;FALSE;FALSE;;
INT1005;Commercializing Science and Technology;Dr. Jermain Kaminski;FALSE;FALSE;;
INT1007;Introduction to Earth Sciences;Dr. Jesse Hennekam;FALSE;FALSE;;
INT2007;Science in Action;Jessica Mesman;FALSE;FALSE;;
INT2008;Molecular Toxicology;Dr Misha Vrolijk;FALSE;FALSE;;
INT2009;Biophysics;Dr. Anjusha Mathew;FALSE;FALSE;;
INT2010;Principles of Mass Spectrometry;Dr. Ian Anthony;FALSE;FALSE;;
INT2012;Archaeological Science;Dr. Kyle Jazwa;FALSE;FALSE;;
INT2013;Fundamentals of Science Education;Dr. May Lee;FALSE;TRUE;;PRO1002
INT2014;Imaging Engineering;Dr. Gavin Hazell;FALSE;FALSE;;
INT3001;The Philosophy of Technology;Massimiliano Simons;FALSE;TRUE;;PRO1002
INT3002;Advanced Microscopy: Theory and Applications;Dimitris Kapsokalyvas;FALSE;FALSE;;
INT3003;Biomaterials;Dr. C. Mota & Dr. P. Wieringa;FALSE;TRUE;;CHE2001
INT3005;Biobased Materials and Technology;Prof. Yvonne van der Meer, Dr. Katie Saralidze;FALSE;TRUE;;CHE2011
INT3007;Systems Biology;Dr. Martina Summer-Kutmon;FALSE;TRUE;;PRO1002
